localize,zombie
//MULE
xmodel,zombie_vending_three_gun
xmodel,zombie_vending_three_gun_on
xmodel,zombie_3rd_perk_bottle_three_gun
xmodel,zombie_perk_bottle_three_gun
fx,misc/fx_zombie_cola_arsenal_on
material,specialty_extraprimaryweapon_zombies
weapon,sp/zombie_perk_bottle_additionalprimaryweapon
//Scripts for SHANG
rawfile,clientscripts/zombie_temple.csc
rawfile,maps/zombie_temple_ai_monkey.gsc
rawfile,maps/zombie_temple_elevators.gsc
rawfile,maps/zombie_temple_ffotd.gsc
rawfile,maps/zombie_temple_pack_a_punch.gsc
rawfile,maps/zombie_temple_spawning.gsc
rawfile,maps/zombie_temple_sq.gsc
rawfile,maps/zombie_temple_sq_brock.gsc
rawfile,maps/zombie_temple_sq_ptt.gsc
//MISTY
xmodel,c_ger_richtofen_body
xmodel,c_ger_richtofen_dlc2_body
xmodel,c_jap_takeo_body
xmodel,c_jap_takeo_dlc2_body
xmodel,c_rus_nikolai_body
xmodel,c_rus_nikolai_dlc2_body
xmodel,c_rus_nikolai_dlc5_body
xmodel,c_usa_dempsey_body
xmodel,c_usa_dempsey_dlc2_body
xmodel,viewmodel_rus_prisoner_arms
xmodel,viewmodel_usa_hazmat_arms
xmodel,viewmodel_usa_pow_arms
xmodel,viewmodel_vtn_nva_standard_arms
xmodel,viewmodel_vtn_arms_standard
//WEAPONS
xmodel,viewmodel_knife
xmodel,t5_weapon_aug_viewmodel
xmodel,t5_weapon_l96a1_viewmodel
xmodel,t5_weapon_m14_viewmodel
xmodel,t5_weapon_1911_lh_viewmodel
xmodel,t5_weapon_1911_rh_viewmodel
xmodel,t5_weapon_1911_viewmodel
xmodel,t5_weapon_1911_sp_viewmodel
xmodel,viewmodel_zombie_raygun_up
xmodel,viewmodel_usa_ray_gun
xmodel,t5_weapon_mpl_viewmodel
xmodel,viewmodel_mp_mp40
xmodel,t5_weapon_spas_viewmodel
xmodel,t5_weapon_law_viewmodel
xmodel,t5_spectre_viewmodel
xmodel,t5_weapon_cz75_dw_lh_viewmodel
xmodel,t5_weapon_cz75_dw_rh_viewmodel
xmodel,t5_weapon_viewmodel_cz75
xmodel,t5_weapon_coltpython_viewmodel
xmodel,t5_weapon_hk21_viewmodel
xmodel,t5_weapon_hs10_dw_lh_viewmodel
xmodel,t5_weapon_hs10_dw_rh_viewmodel
xmodel,t5_weapon_hs10_viewmodel
xmodel,t5_weapon_galil_viewmodel
xmodel,t5_weapon_fal_viewmodel
xmodel,t5_weapon_famas_viewmodel
xmodel,t5_weapon_g11_viewmodel
xmodel,zombie_monkey_bomber
xmodel,viewmodel_zombie_cymbal_monkey
xmodel,t5_weapon_rpk_viewmodel
xmodel,t5_weapon_ex41_viewmodel
xmodel,t5_weapon_dragunov_viewmodel
xmodel,t5_weapon_commando_viewmodel
xmodel,t5_weapon_clip_commando
xmodel,t5_weapon_ballistic_knife_blade
xmodel,t5_weapon_ballistic_knife_projectile
xmodel,t5_weapon_ballistic_knife_viewmodel
xmodel,viewmodel_ballistic_knife_w_bowie
xmodel,t5_weapon_mp_crossbow_viewmodel
xmodel,t5_weapon_ithaca_viewmodel
xmodel,t5_weapon_mp5_viewmodel
xmodel,t5_weapon_viewmodel_M16A1
xmodel,t5_weapon_beretta682_viewmodel
xmodel,viewmodel_knife_bowie
xmodel,t5_weapon_ak74u_viewmodel
xmodel,t5_weapon_shrink_ray_world
xmodel,t5_weapon_shrink_ray_viewmodel
xmodel,viewmodel_claymore
//PHD
fx,maps/zombie/fx_zmb_phdflopper_exp
//PERK MACHINES AND PAP
fx,misc/fx_zombie_cola_arsenal_on
fx,misc/fx_zombie_cola_dtap_on
fx,misc/fx_zombie_cola_jugg_on
fx,misc/fx_zombie_cola_on
fx,misc/fx_zombie_cola_revive_on
fx,maps/zombie/fx_zombie_packapunch
fx,maps/zombie/fx_zmb_cola_revive_flicker
fx,maps/zombie/fx_zmb_cola_staminup_on
//POWER UPS
fx,misc/fx_zombie_powerup_caution_grab
fx,misc/fx_zombie_powerup_caution_on
fx,misc/fx_zombie_powerup_caution_wave
fx,misc/fx_zombie_powerup_grab
fx,misc/fx_zombie_powerup_on
fx,misc/fx_zombie_powerup_solo_grab
fx,misc/fx_zombie_powerup_solo_on
fx,misc/fx_zombie_powerup_solo_wave
fx,misc/fx_zombie_powerup_wave
fx,misc/fx_trail_raygun_zt_geotrail
fx,misc/fx_zombie_eye_single
fx,misc/fx_zombie_eye_single_zt
fx,misc/fx_zombie_powerup_on_red
fx,misc/fx_zombie_powerup_red_grab
fx,misc/fx_zombie_powerup_red_wave
fx,misc/fx_zombie_zapper_powerbox_on
//CLAYMORE
fx,weapon/claymore/fx_claymore_laser
//CROSSBOW
fx,weapon/crossbow/fx_trail_crossbow_blink_grn_os
fx,weapon/crossbow/fx_trail_crossbow_blink_red_os
//RAYGUN
fx,misc/fx_exp_raygun_impact
fx,misc/fx_exp_raygun_ug_impact
fx,misc/fx_trail_raygun_geotrail
fx,misc/fx_trail_raygun_ring_emit
fx,misc/fx_trail_raygun_ug_geotrail
fx,misc/fx_trail_raygun_ug_ring_emit
fx,weapon/muzzleflashes/fx_raygun_ug_view
fx,weapon/muzzleflashes/fx_raygun_ug_world
fx,weapon/muzzleflashes/fx_raygun_view
//BABY GUN & SHANG
fx,weapon/shrink_ray/fx_shrinkray_impact
fx,weapon/shrink_ray/fx_shrinkray_impact_ug
fx,weapon/shrink_ray/fx_trail_shrinkray
fx,weapon/shrink_ray/fx_trail_shrinkray_ug
fx,weapon/shrink_ray/zombie_shrink
fx,weapon/shrink_ray/zombie_unshrink
fx,weapon/muzzleflashes/fx_shrink_ray_view
fx,weapon/muzzleflashes/fx_shrink_ray_view_ug
fx,weapon/muzzleflashes/fx_shrink_ray_world_ug
fx,maps/zombie_temple/fx_ztem_monkey_shrink
fx,maps/zombie_temple/fx_ztem_moon_eclipse
fx,maps/zombie/fx_zombie_monkey_light
//PLUTO FIX CZ
xanim,viewmodel_cz75_dw_full_ads_down
xanim,viewmodel_cz75_dw_full_ads_up
xanim,viewmodel_cz75_dw_full_d2p_in
xanim,viewmodel_cz75_dw_full_d2p_loop
xanim,viewmodel_cz75_dw_full_d2p_out
xanim,viewmodel_cz75_dw_full_first_raise
xanim,viewmodel_cz75_dw_full_pullout
xanim,viewmodel_cz75_dw_full_pullout_empty
xanim,viewmodel_cz75_dw_full_putaway
xanim,viewmodel_cz75_dw_full_putaway_empty
xanim,viewmodel_cz75_dw_full_sprint_in
xanim,viewmodel_cz75_dw_full_sprint_loop
xanim,viewmodel_cz75_dw_full_sprint_out
xanim,viewmodel_cz75_dw_left_fire
xanim,viewmodel_cz75_dw_left_idle
xanim,viewmodel_cz75_dw_left_idle_empty
xanim,viewmodel_cz75_dw_left_idle_loop
xanim,viewmodel_cz75_dw_left_idle_loop_empty
xanim,viewmodel_cz75_dw_left_last_shot
xanim,viewmodel_cz75_dw_left_reload
xanim,viewmodel_cz75_dw_left_reload_empty
xanim,viewmodel_cz75_dw_right_fire
xanim,viewmodel_cz75_dw_right_idle
xanim,viewmodel_cz75_dw_right_idle_empty
xanim,viewmodel_cz75_dw_right_idle_loop
xanim,viewmodel_cz75_dw_right_idle_loop_empty
xanim,viewmodel_cz75_dw_right_last_shot
xanim,viewmodel_cz75_dw_right_reload
xanim,viewmodel_cz75_dw_right_reload_empty
